FID	IID	PC1	PC2	PC3	PC4	PC5
1	1	-0.0093552	0.00480098	-0.00276965	-0.00747567	-0.000819806
2	2	-0.0113397	0.00569742	0.0049329	-0.021744	-0.0120062
3	3	-0.0116479	0.00513547	-0.0013586	0.0189552	0.00947941
4	4	-0.0111839	0.00563528	0.00328749	-0.0124358	-0.0108115
5	5	-0.0109722	0.00521619	0.00777611	-0.00132865	0.00274195
6	6	-0.0119511	0.0045747	1.02836e-05	-0.0234225	-0.00666675
7	7	-0.0108453	0.00366238	-0.0291794	0.00609753	0.00172958
8	8	-0.0123562	0.00572245	0.01009	8.25531e-07	0.00370241
9	9	-0.0110363	0.00407279	-0.00910861	0.00712236	0.00599637
10	10	-0.0106975	0.00490644	-0.0126652	0.0200608	0.0130313
11	11	-0.0118248	0.00539663	0.00702178	0.0127124	-0.00559934
12	12	-0.0109509	0.00549743	0.0107031	0.00653286	-0.0180787
13	13	-0.0113874	0.00597422	-0.0117081	0.0132397	0.00939731
14	14	-0.0110874	0.00486629	0.00469459	0.00420123	-0.00219397
15	15	-0.0112139	0.00577484	0.00875015	-0.0151169	0.00103568
16	16	-0.0122013	0.00506948	0.0119723	-1.61612e-05	-0.00520413
17	17	-0.010506	0.0054205	-0.0140885	-0.00365812	0.0103979
18	18	-0.0116913	0.00382083	-0.00469271	-0.000759059	-0.0092715
19	19	-0.0113821	0.00446651	-0.00698547	-0.00138874	0.00345149
20	20	-0.0112181	0.0069643	-0.00550869	0.00317948	-0.0223597
21	21	-0.0108825	0.00542549	0.00277313	-0.0133074	-0.00923573
22	22	-0.0119979	0.00343708	-0.000628734	-0.00980457	0.00345695
23	23	-0.0115322	0.00417633	-0.000368214	-0.0100148	0.00424562
24	24	-0.0108805	0.00612991	0.00844594	-0.00868711	-0.00664673
25	25	-0.0109672	0.00436604	0.00600621	0.00675488	-0.00514681
26	26	-0.0112062	0.00511131	-0.0103506	-0.00581832	-0.00470139
27	27	-0.0122388	0.00590285	-0.0119399	0.009483	-0.0114358
28	28	-0.0104309	0.00356236	-0.00452439	0.00397458	-0.000811269
29	29	-0.0106546	0.00547547	0.00189919	0.00766626	-0.0363951
30	30	-0.0114653	0.00476654	0.00384404	-0.0053554	-0.00694981
31	31	-0.0116418	0.00475113	-0.00260172	-0.00347041	0.00415767
32	32	-0.0118015	0.00505622	0.00504078	-0.011709	0.00558919
33	33	-0.0123113	0.00537375	0.00672425	-0.000224655	-0.0114179
34	34	-0.0108613	0.00548379	-0.0115279	-0.00177394	0.00157429
35	35	-0.0100109	0.00384588	0.00503751	0.0018781	-0.00120748
36	36	-0.0119862	0.00511355	0.0094542	-0.00368944	-0.00616064
37	37	-0.0102104	0.0054287	0.000938653	0.00549898	-0.00460288
38	38	-0.0109176	0.00577148	-0.0104771	-0.00748548	0.0188115
39	39	-0.0111271	0.00319541	0.00117935	0.0195542	-0.00483022
40	40	-0.0120523	0.00675586	-0.00843456	-0.00826003	-0.0029715
41	41	-0.0115838	0.00607188	-0.0136163	0.0130336	0.000865027
42	42	-0.011124	0.00572557	0.00699985	-0.000415197	0.0126115
43	43	-0.0117433	0.00459894	-0.022014	-0.0061743	-0.0149132
44	44	-0.0123439	0.00611362	-0.0044658	0.0248581	0.00938836
45	45	-0.0114537	0.00553849	-0.012163	0.0125349	-0.000388635
46	46	-0.0112186	0.00617448	0.0172273	0.0100815	0.00484221
47	47	-0.0119775	0.00420703	-0.0112047	0.0167351	0.00528899
48	48	-0.0112274	0.00419943	-0.00834087	-0.00755698	0.00726572
49	49	-0.0119233	0.00476642	0.00858391	-0.0107224	0.00626247
50	50	-0.0116622	0.00346002	-0.00760806	-0.0137407	-0.0184622
51	51	-0.0113014	0.00478015	0.0127391	-0.00820071	-0.0067274
52	52	-0.0127364	0.00541649	0.00710373	0.0114627	0.00470991
53	53	-0.0124203	0.00534661	-0.00696597	-0.00499382	-0.00445505
54	54	-0.0110625	0.00501757	-0.00739423	-0.00229236	0.0164393
55	55	-0.0114835	0.00706704	-0.0163724	-0.00874046	-0.00467102
56	56	-0.0115962	0.00534455	0.00832403	-0.011921	0.00210734
57	57	-0.0114433	0.00427321	0.00415188	0.00535701	-0.00333953
58	58	-0.0118501	0.0040216	-0.0182435	0.0183424	-0.0026628
59	59	-0.010847	0.00373612	-0.00659676	-0.00423099	-0.00591327
60	60	-0.0108029	0.00451064	0.00180691	-0.0072077	-0.00730346
61	61	-0.0115633	0.00496723	-0.00953024	0.0213079	-0.00251676
62	62	-0.0106082	0.00540117	-0.00205338	0.00659153	0.00198093
63	63	-0.010908	0.00414538	-0.00112712	0.0128066	0.007884
64	64	-0.0108583	0.00478141	-0.0132484	-0.00303062	-0.00781762
65	65	-0.0108416	0.00555566	0.0103839	0.0288284	0.00662092
66	66	-0.0119584	0.00541587	-0.000998994	0.00414778	-0.00152166
67	67	-0.011487	0.00569407	-0.00142348	-0.0101416	-0.0131952
